key	series	other_name	smile	pure	cool	mental	rarity	center_skill_condition	raw_center_skill_text	raw_skill_text	ap	center_ability_text
other	蓮ノ空女学院スクールアイドルクラブ101期生	大賀美沙知	4900	4750	4750	480	ur				100	
cerise	蓮ノ空女学院スクールアイドルクラブ102期生		4800	4800	4800	480	ur				100	
kozue	？？？	乙宗梢	4800	4800	4800	480	ur				100	
kozue	Dream Believers	乙宗梢	5600	4800	4000	480	ur				100	
kozue	春色ニューデイズ	乙宗梢	5400	4600	4200	500	ur				100	
kozue	Reflection in the mirror	乙宗梢	5300	4900	4600	440	ur				100	
kozue	チェリー♫ピクニック	乙宗梢	5000	5700	3900	460	ur				100	
kozue	Holiday∞Holiday	乙宗梢	4900	5150	4450	470	ur				100	
kozue	雨と紫陽花に唄へば	乙宗梢	4600	4600	5400	460	ur				100	
kozue	フォーチュンムービー	乙宗梢	5150	5000	4500	455	ur				100	
kozue	DEEPNESS	乙宗梢	4400	4200	6100	450	ur				100	
kozue	金魚◎花火	乙宗梢	5000	4800	4600	480	ur				100	
kozue	はじける☆メロンソーダ	乙宗梢	5100	5400	4350	435	ur				100	
kozue	秋色カントリーロード	乙宗梢	4500	5000	4300	540	ur				100	
kozue	奇跡の舞踏会	乙宗梢	6000	4300	4100	480	ur				100	
kozue	ツバサ・ラ・リベルテ	乙宗梢	4500	5500	4500	470	ur				100	
kozue	冬のおくりもの	乙宗梢	4700	5100	4600	480	ur				100	
kozue	蓮ノ空歌留多	乙宗梢	4300	4700	5200	500	ur				100	
kozue	ダイヤモンドハッピー	乙宗梢	5400	4600	4400	480	ur				100	
kozue	桃節銘記	乙宗梢	4400	5500	4800	450	ur				100	
kozue	抱きしめる花びら	乙宗梢	3600	5900	5000	470	ur				100	
kozue	365 Days	乙宗梢	5350	4600	3950	530	ur				100	
kozue	H.S.C.T.☆	乙宗梢	5000	4900	4000	530	ur				100	
kozue	アオクハルカ	乙宗梢	4400	5500	4200	510	ur				100	
kozue	PASSION!!!!!!	乙宗梢	3200	5800	5300	490	ur				100	
kozue	輪廻の銀河へ	乙宗梢	4300	3900	6200	480	ur				100	
kozue	KEY of Like！	乙宗梢	4800	6400	4700	530	ur				100	
kozue	AURORA FLOWER	乙宗梢	5300	5300	5300	530	ur				100	
kozue	ユメワズライ	乙宗梢	5300	4600	4500	480	ur				100	
kozue	いつでも、いつまでも	乙宗梢	5500	4800	4100	480	ur				100	
kozue	be proud	乙宗梢	7200	4700	4200	510	lr				100	
kozue	Prism Echo	乙宗梢	6000	5600	5200	640	dr				100	
kozue	Ether Aria	乙宗梢	5400	5400	6800	560	dr				100	
kozue	18th Birthday	乙宗梢	4800	4800	4800	480	dr2				100	
kaho	Dream Believers	夕霧綴理	4800	4150	5750	450	ur				100	
kaho	スケイプゴート	夕霧綴理	4300	5000	5900	400	ur				100	
kaho	チェリー♫ピクニック	夕霧綴理	4350	4750	5800	430	ur				100	
kaho	ツキマカセ	夕霧綴理	3900	5500	5300	450	ur				100	
kaho	DEEPNESS	夕霧綴理	4300	4600	6100	420	ur				100	
kaho	ペンギンアイス	夕霧綴理	4450	5250	4800	470	ur				100	
kaho	朝顔令嬢	夕霧綴理	4600	4300	5550	475	ur				100	
kaho	金魚◎花火	夕霧綴理	4400	5200	4800	480	ur				100	
kaho	はじける☆スイカソーダ	夕霧綴理	4350	5400	5100	435	ur				100	
kaho	秋色カントリーロード	夕霧綴理	4000	5100	4700	540	ur				100	
kaho	Take It Over	夕霧綴理	4900	4500	5000	480	ur				100	
kaho	革命の舞踏会	夕霧綴理	3800	4500	6200	470	ur				100	
kaho	Trick ＆ Cute	夕霧綴理	4900	4400	5100	480	ur				100	
kaho	ツバサ・ラ・リベルテ	夕霧綴理	3500	5600	5300	480	ur				100	
kaho	蓮ノ空歌留多	夕霧綴理	4400	4800	5200	480	ur				100	
